Segment,Country,Product,Discount Band,Units Sold,Procurement,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Sales_MA_3,Date_ISO
Midmarket,France,VTT,Medium,1227,6135,250,15,18405,1656,16748,12270,24173,2018-11-15
Small Business,Canada,VTT,High,269,33625,250,300,80700,11298,69402,67250,38041,2018-11-15
Government,United States of America,Amarilla,Medium,727,94510,260,350,254450,15267,239183,189020,108444,2018-11-15
Government,Germany,Paseo,Medium,1259,3147,10,7,8813,705,8107,6295,105564,2018-11-16
Small Business,United States of America,Carretera,Medium,991,123875,3,300,297300,14865,282435,247750,176575,2018-11-16
Government,Germany,Paseo,High,357,46410,10,350,124950,16243,108706,92820,133083,2018-11-16
Midmarket,United States of America,Amarilla,None,615,3075,260,15,9225,0,9225,6150,133455,2018-11-16
Enterprise,Germany,Montana,Low,1706,102360,5,125,213250,6397,206852,204720,108261,2018-11-16
Enterprise,Canada,Carretera,Low,742,44550,3,125,92812,1856,90956,89100,102344,2018-11-18
Channel Partners,Germany,Montana,Medium,2342,3513,5,12,28104,1405,26698,7026,108169,2018-11-18
Midmarket,France,Paseo,Medium,2620,13100,10,15,39300,1965,37335,26200,51663,2018-11-18
Channel Partners,United States of America,Carretera,Low,1947,2920,3,12,23364,700,22663,5841,28899,2018-11-18
Channel Partners,France,Paseo,Low,1901,2851,10,12,22812,684,22127,5703,27375,2018-11-18
Small Business,France,Velo,High,853,106625,120,300,255900,25590,230310,213250,91700,2018-11-19
Government,Canada,VTT,High,865,4327,250,20,17310,2596,14713,8655,89050,2018-11-19
Government,United States of America,Amarilla,Medium,2071,269230,260,350,724850,65236,659613,538460,301545,2018-11-19
Government,France,Paseo,Medium,1757,8785,10,20,35140,2108,33031,17570,235786,2018-11-19
Midmarket,Germany,VTT,High,1175,5875,250,15,17625,2643,14981,11750,235875,2018-11-19
Channel Partners,Mexico,Paseo,Medium,2763,4144,10,12,33156,2320,30835,8289,26282,2018-11-19
Government,France,Paseo,High,1954,9770,10,20,39080,3908,35172,19540,26996,2018-11-19
Channel Partners,Canada,Amarilla,High,2761,4141,260,12,33132,3975,29156,8283,31721,2018-11-19
Government,United States of America,Paseo,Medium,2327,5817,10,7,16289,814,15474,11635,26601,2018-11-20
Channel Partners,France,VTT,High,1734,2601,250,12,20808,2288,18519,5202,21050,2018-11-20
Government,Mexico,Velo,Medium,609,3045,120,20,12180,852,11327,6090,15107,2018-11-20
Government,France,VTT,Medium,381,49530,250,350,133350,10668,122682,99060,50843,2018-11-20
Small Business,Canada,VTT,None,2001,250125,250,300,600300,0,600300,500250,244770,2018-11-23
Channel Partners,France,Montana,Medium,2342,3513,5,12,28104,1967,26136,7026,249706,2018-11-23
Enterprise,Canada,Velo,Low,2009,120540,120,125,251125,7533,243591,241080,290009,2018-11-24
Small Business,United States of America,Velo,Medium,1372,171500,120,300,411600,28812,382788,343000,217505,2018-11-24
Channel Partners,Germany,Velo,High,1013,1519,120,12,12156,1580,10575,3039,212318,2018-11-24
Channel Partners,Mexico,Carretera,Medium,367,550,3,12,4404,396,4007,1101,132457,2018-11-24
Enterprise,Canada,Amarilla,Medium,1645,98700,260,125,205625,14393,191231,197400,68604,2018-11-24
Channel Partners,Mexico,Amarilla,High,410,615,260,12,4920,639,4280,1230,66506,2018-11-24
Channel Partners,Germany,VTT,None,2838,4257,250,12,34056,0,34056,8514,76522,2018-11-25
Channel Partners,Germany,Velo,None,2161,3241,120,12,25932,0,25932,6483,21423,2018-11-25
Enterprise,Canada,VTT,High,2529,151740,250,125,316125,31612,284512,303480,114833,2018-11-25
Channel Partners,Mexico,Velo,High,500,750,120,12,6000,900,5100,1500,105181,2018-11-25
Channel Partners,United States of America,Carretera,Low,1947,2920,3,12,23364,700,22663,5841,104092,2018-11-25
Enterprise,Mexico,Montana,Low,1138,68280,5,125,142250,5690,136560,136560,54774,2018-11-25
Enterprise,France,Carretera,High,1482,88920,3,125,185250,18525,166725,177840,108649,2018-11-25
Midmarket,France,Amarilla,Low,321,1605,260,15,4815,48,4766,3210,102684,2018-11-25
Government,Germany,Velo,Low,2966,385580,120,350,1038100,20762,1017338,771160,396276,2018-11-26
Midmarket,Canada,Montana,Low,1967,9835,5,15,29505,1180,28324,19670,350143,2018-11-26
Government,Germany,VTT,Medium,360,900,250,7,2520,226,2293,1800,349318,2018-11-26
Midmarket,Canada,VTT,Medium,2844,14220,250,15,42660,2559,40100,28440,23572,2018-11-26
Channel Partners,Mexico,Carretera,Medium,727,1090,3,12,8724,610,8113,2181,16835,2018-11-26
Government,Germany,Montana,Low,1958,4895,5,7,13706,411,13294,9790,20502,2018-11-27
Enterprise,Germany,Velo,Medium,2087,125220,120,125,260875,18261,242613,250440,88007,2018-11-27
Government,France,Velo,Medium,1033,5165,120,20,20660,1033,19627,10330,91845,2018-11-27
Government,Canada,Montana,High,2734,6835,5,7,19138,2296,16841,13670,93027,2018-11-27
Government,United States of America,Amarilla,High,270,35100,260,350,94500,11340,83160,70200,39876,2018-11-27
Government,Canada,Montana,High,2734,6835,5,7,19138,2296,16841,13670,38947,2018-11-28
Government,United States of America,Paseo,Low,2013,5032,10,7,14091,281,13809,10065,37937,2018-11-29
Midmarket,Mexico,Paseo,Low,2031,10155,10,15,30465,1218,29246,20310,19965,2018-11-29
Government,Mexico,Velo,Medium,1333,3332,120,7,9331,559,8771,6665,17275,2018-11-29
Government,Germany,Paseo,Medium,1259,3147,10,7,8813,705,8107,6295,15375,2018-11-29
Enterprise,Canada,Paseo,Low,1774,106440,10,125,221750,6652,215097,212880,77325,2018-11-29
Enterprise,France,Paseo,Low,2988,179280,10,125,373500,14940,358560,358560,193921,2018-11-29
Government,Mexico,Montana,High,1727,4317,5,7,12089,1692,10396,8635,194684,2018-11-30
Government,Germany,VTT,Medium,2338,5845,250,7,16366,1309,15056,11690,128004,2018-11-30
Small Business,United States of America,Carretera,Medium,991,123875,3,300,297300,14865,282435,247750,102629,2018-11-30
Small Business,Germany,Velo,Medium,1250,156250,120,300,375000,18750,356250,312500,217914,2018-11-30
Government,Mexico,Velo,High,344,44720,120,350,120400,13244,107156,89440,248614,2018-11-30
Government,France,Paseo,Medium,1031,2577,10,7,7217,505,6711,5155,156706,2018-12-01
Government,Germany,VTT,Medium,2338,5845,250,7,16366,1309,15056,11690,42974,2018-12-01
Enterprise,United States of America,VTT,High,2387,143220,250,125,298375,35805,262570,286440,94779,2018-12-01
Government,Mexico,Amarilla,Medium,1683,4207,260,7,11781,589,11191,8415,96272,2018-12-01
Channel Partners,Mexico,VTT,Low,1916,2874,250,12,22992,689,22302,5748,98688,2018-12-02
Enterprise,Canada,Paseo,High,1583,94980,10,125,197875,25723,172151,189960,68548,2018-12-02
Enterprise,Canada,Velo,Low,923,55380,120,125,115375,1153,114221,110760,102891,2018-12-02
Small Business,Germany,Paseo,Low,689,86125,10,300,206700,6201,200499,172250,162290,2018-12-02
Channel Partners,Germany,Montana,Medium,2342,3513,5,12,28104,1405,26698,7026,113806,2018-12-02
Small Business,Mexico,Velo,High,2605,325625,120,300,781500,101595,679905,651250,302367,2018-12-02
Channel Partners,United States of America,Montana,Medium,2723,4084,5,12,32676,1960,30715,8169,245773,2018-12-03
Channel Partners,Canada,Carretera,Low,1295,1942,3,12,15540,310,15229,3885,241950,2018-12-03
Midmarket,Mexico,Paseo,Low,2031,10155,10,15,30465,1218,29246,20310,25063,2018-12-04
Channel Partners,Germany,Montana,None,1545,2317,5,12,18540,0,18540,4635,21005,2018-12-04
Channel Partners,France,Paseo,High,2425,3638,10,12,29106,3201,25904,7276,24563,2018-12-04
Government,Mexico,Paseo,High,2151,279630,10,350,752850,112927,639922,559260,228122,2018-12-04
Government,Canada,Carretera,High,923,119990,3,350,323050,41996,281053,239980,315626,2018-12-04
Government,Mexico,Paseo,High,1122,5610,10,20,22440,2468,19971,11220,313649,2018-12-05
Government,United States of America,Paseo,Low,3450,448500,10,350,1207500,48300,1159200,897000,486741,2018-12-05
Channel Partners,Mexico,Amarilla,Medium,1375,2062,260,12,16500,1320,15180,4125,398117,2018-12-05
Channel Partners,Canada,Paseo,High,2222,3333,10,12,26664,3732,22931,6666,399104,2018-12-05
Channel Partners,Canada,Montana,Medium,2321,3481,5,12,27852,2506,25345,6963,21152,2018-12-06
Midmarket,France,VTT,Medium,1227,6135,250,15,18405,1656,16748,12270,21675,2018-12-06
Channel Partners,France,VTT,Medium,2234,3351,250,12,26808,2412,24395,6702,22163,2018-12-06
Government,United States of America,Velo,High,986,128180,120,350,345100,41412,303688,256360,114944,2018-12-06
Channel Partners,United States of America,Paseo,High,914,1371,10,12,10968,1645,9322,2742,112468,2018-12-06
Enterprise,France,Velo,Medium,704,42240,120,125,88000,4400,83600,84480,132203,2018-12-07
Enterprise,Mexico,VTT,Medium,877,52620,250,125,109625,9866,99758,105240,64227,2018-12-07
Government,Mexico,Carretera,High,886,115180,3,350,310100,37212,272888,230360,152082,2018-12-07
Government,Germany,VTT,Medium,422,54860,250,350,147700,11816,135884,109720,169510,2018-12-07
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,194677,2018-12-07
Government,Mexico,VTT,Low,1642,213460,250,350,574700,17241,557459,426920,289534,2018-12-08
Channel Partners,Canada,Paseo,High,4026,6039,10,12,48312,5314,42997,12078,258572,2018-12-08
Government,Mexico,Amarilla,Medium,1694,8470,260,20,33880,3049,30830,16940,210429,2018-12-08
Midmarket,France,Paseo,Medium,2101,10505,10,15,31515,2206,29308,21010,34378,2018-12-08
Midmarket,Canada,Montana,High,2300,11500,5,15,34500,4830,29670,23000,29936,2018-12-08
Government,France,Montana,Medium,1757,8785,5,20,35140,2108,33031,17570,30670,2018-12-09
Midmarket,United States of America,Paseo,Low,1514,7570,10,15,22710,227,22482,15140,28394,2018-12-09
Small Business,United States of America,VTT,High,2294,286750,250,300,688200,68820,619380,573500,224964,2018-12-09
Government,Germany,Paseo,Medium,1372,3430,10,7,9604,480,9123,6860,216995,2018-12-10
Government,France,Amarilla,Low,941,4705,260,20,18820,376,18443,9410,215649,2018-12-10
Enterprise,Mexico,Velo,Medium,2110,126600,120,125,263750,23737,240012,253200,89193,2018-12-10
Government,France,VTT,Medium,2487,6217,250,7,17409,870,16538,12435,91664,2018-12-10
Government,France,Carretera,High,1790,232700,3,350,626500,81445,545055,465400,267202,2018-12-10
Government,Mexico,Velo,High,344,44720,120,350,120400,13244,107156,89440,222916,2018-12-11
Government,United States of America,Velo,Low,1566,7830,120,20,31320,626,30693,15660,227635,2018-12-11
Small Business,United States of America,Amarilla,High,2993,374125,260,300,897900,89790,808110,748250,315320,2018-12-11
Enterprise,United States of America,Velo,None,2821,169260,120,125,352625,0,352625,338520,397143,2018-12-12
Enterprise,Germany,VTT,High,552,33120,250,125,69000,10350,58650,66240,406462,2018-12-12
Midmarket,France,Paseo,Medium,2101,10505,10,15,31515,2206,29308,21010,146861,2018-12-12
Government,Mexico,Velo,Low,544,2720,120,20,10880,217,10662,5440,32873,2018-12-12
Small Business,Canada,Velo,High,269,33625,120,300,80700,11298,69402,67250,36457,2018-12-12
Enterprise,United States of America,Paseo,Medium,861,51660,10,125,107625,5381,102243,103320,60769,2018-12-13
Enterprise,Canada,VTT,Low,2729,163740,250,125,341125,6822,334302,327480,168649,2018-12-13
Channel Partners,Mexico,Montana,High,2661,3991,5,12,31932,3831,28100,7983,154882,2018-12-13
Government,United States of America,Velo,Medium,2832,14160,120,20,56640,2832,53808,28320,138737,2018-12-13
Channel Partners,Mexico,Paseo,Medium,2763,4144,10,12,33156,2320,30835,8289,37581,2018-12-13
Government,Germany,Amarilla,Medium,1520,7600,260,20,30400,2432,27968,15200,37537,2018-12-13
Government,Germany,Paseo,None,1006,130780,10,350,352100,0,352100,261560,136968,2018-12-14
Midmarket,Mexico,Amarilla,High,2157,10785,260,15,32355,3559,28795,21570,136288,2018-12-14
Channel Partners,France,Montana,Low,1901,2851,5,12,22812,684,22127,5703,134341,2018-12-14
Government,Mexico,Amarilla,High,1727,4317,260,7,12089,1692,10396,8635,20439,2018-12-14
Government,United States of America,Paseo,Low,4492,11231,10,7,31447,314,31133,22462,21219,2018-12-14
Channel Partners,France,VTT,High,1734,2601,250,12,20808,2288,18519,5202,20016,2018-12-14
Channel Partners,United States of America,Carretera,Low,1858,2787,3,12,22296,222,22073,5574,23908,2018-12-14
Midmarket,Mexico,Montana,Low,2031,10155,5,15,30465,1218,29246,20310,23279,2018-12-14
Government,Mexico,VTT,Medium,521,1302,250,7,3647,328,3318,2605,18212,2018-12-14
Government,United States of America,Amarilla,None,1143,2857,260,7,8001,0,8001,5715,13522,2018-12-15
Midmarket,Mexico,Amarilla,High,1870,9350,260,15,28050,3927,24123,18700,11814,2018-12-15
Channel Partners,Mexico,Amarilla,High,410,615,260,12,4920,639,4280,1230,12135,2018-12-15
Enterprise,Canada,VTT,High,1583,94980,250,125,197875,25723,172151,189960,66851,2018-12-15
Government,Mexico,Paseo,Medium,1362,177060,10,350,476700,38136,438564,354120,204998,2018-12-16
Government,France,Montana,Medium,1666,216580,5,350,583100,52479,530621,433160,380445,2018-12-16
Enterprise,Canada,Velo,Medium,567,34020,120,125,70875,6378,64496,68040,344560,2018-12-16
Enterprise,Canada,Paseo,Low,2729,163740,10,125,341125,6822,334302,327480,309806,2018-12-17
Enterprise,United States of America,Montana,High,1804,108240,5,125,225500,22550,202950,216480,200583,2018-12-17
Government,France,Paseo,Medium,1303,6515,10,20,26060,1303,24757,13030,187336,2018-12-17
Enterprise,United States of America,Paseo,Medium,2992,179520,10,125,374000,18700,355300,359040,194336,2018-12-17
Channel Partners,Germany,Carretera,Medium,1580,2370,3,12,18960,1706,17253,4740,132437,2018-12-17
Small Business,Germany,Carretera,High,2811,351375,3,300,843300,92763,750537,702750,374363,2018-12-17
Channel Partners,Canada,Carretera,High,1937,2905,3,12,23244,2556,20687,5811,262826,2018-12-17
Channel Partners,Germany,VTT,Low,2479,3718,250,12,29748,892,28855,7437,266693,2018-12-18
Enterprise,Mexico,VTT,Medium,877,52620,250,125,109625,9866,99758,105240,49767,2018-12-18
Channel Partners,France,VTT,High,1734,2601,250,12,20808,2288,18519,5202,49044,2018-12-19
Government,Mexico,VTT,High,1233,6165,250,20,24660,2959,21700,12330,46659,2018-12-19
Channel Partners,United States of America,Amarilla,High,2914,4371,260,12,34968,4895,30072,8742,23430,2018-12-19
Government,United States of America,Velo,Medium,547,1367,120,7,3829,268,3560,2735,18444,2018-12-20
Government,Germany,Paseo,Medium,1598,3995,10,7,11186,894,10291,7990,14641,2018-12-20
Government,United States of America,Paseo,Medium,727,94510,10,350,254450,15267,239183,189020,84345,2018-12-21
Midmarket,United States of America,Paseo,Medium,2931,14655,10,15,43965,3077,40887,29310,96787,2018-12-21
Midmarket,France,Paseo,Medium,1227,6135,10,15,18405,1656,16748,12270,98939,2018-12-21
Government,Mexico,Carretera,Medium,521,1302,3,7,3647,328,3318,2605,20318,2018-12-21
Government,Germany,Amarilla,Low,2966,385580,260,350,1038100,20762,1017338,771160,345801,2018-12-22
Small Business,Canada,Paseo,High,1366,170750,10,300,409800,45078,364722,341500,461793,2018-12-22
Government,United States of America,Paseo,Low,3450,448500,10,350,1207500,48300,1159200,897000,847087,2018-12-23
Midmarket,United States of America,Carretera,Medium,2030,10150,3,15,30450,1827,28623,20300,517515,2018-12-23
Government,Canada,Amarilla,Low,1778,231140,260,350,622300,24892,597408,462280,595077,2018-12-24
Government,United States of America,Montana,High,2313,300690,5,350,809550,80955,728595,601380,451542,2018-12-24
Midmarket,Mexico,Montana,High,2157,10785,5,15,32355,3559,28795,21570,451599,2018-12-24
Channel Partners,Canada,Carretera,Medium,1884,2826,3,12,22608,1582,21025,5652,259472,2018-12-24
Midmarket,Canada,Paseo,High,1743,8715,10,15,26145,3660,22484,17430,24101,2018-12-24
Small Business,Mexico,Montana,None,958,119750,5,300,287400,0,287400,239500,110303,2018-12-24
Small Business,United States of America,VTT,Medium,808,101000,250,300,242400,19392,223008,202000,177631,2018-12-24
Government,Mexico,Montana,High,1727,4317,5,7,12089,1692,10396,8635,173601,2018-12-25
Small Business,Canada,Montana,Medium,1283,160375,5,300,384900,30792,354108,320750,195837,2018-12-25
Government,Germany,VTT,Low,263,657,250,7,1841,18,1822,1315,122109,2018-12-26
Enterprise,Germany,Paseo,Low,1570,94200,10,125,196250,5887,190362,188400,182097,2018-12-26
Government,United States of America,Paseo,High,1438,3596,10,7,10069,1309,8760,7192,66981,2018-12-26
Midmarket,France,Paseo,Medium,3801,19005,10,15,57015,3420,53594,38010,84239,2018-12-26
Government,Germany,VTT,High,1870,243100,250,350,654500,65450,589050,486200,217135,2018-12-26
Channel Partners,United States of America,Paseo,Low,1142,1713,10,12,13704,274,13429,3426,218691,2018-12-26
Government,Canada,Carretera,Low,831,4155,3,20,16620,498,16121,8310,206200,2018-12-26
Enterprise,Mexico,Carretera,High,2156,129360,3,125,269500,32340,237160,258720,88903,2018-12-27
Enterprise,United States of America,VTT,High,2387,143220,250,125,298375,35805,262570,286440,171950,2018-12-27
Channel Partners,Canada,Carretera,Low,908,1362,3,12,10896,326,10569,2724,170100,2018-12-27
Small Business,Germany,Montana,Low,1859,232375,5,300,557700,22308,535392,464750,269510,2018-12-27
Government,Canada,Paseo,Low,4251,10627,10,7,29757,1190,28566,21255,191509,2018-12-27
Small Business,Canada,VTT,None,2001,250125,250,300,600300,0,600300,500250,388086,2018-12-28
Channel Partners,Mexico,Paseo,Medium,2763,4144,10,12,33156,2320,30835,8289,219900,2018-12-28
Government,Mexico,Paseo,High,1715,8575,10,20,34300,4116,30184,17150,220440,2018-12-28
Government,Canada,Amarilla,Medium,1118,5590,260,20,22360,1565,20794,11180,27271,2018-12-28
Midmarket,Canada,Carretera,High,1560,7800,3,15,23400,2574,20826,15600,23935,2018-12-28
Government,Canada,Velo,High,2632,342160,120,350,921200,119756,801444,684320,281021,2018-12-28
Small Business,United States of America,Paseo,Medium,991,123875,10,300,297300,14865,282435,247750,368235,2018-12-29
Midmarket,Canada,Montana,High,2300,11500,5,15,34500,4830,29670,23000,371183,2018-12-29
Government,Mexico,Amarilla,High,1727,4317,260,7,12089,1692,10396,8635,107500,2018-12-29
Small Business,United States of America,Paseo,Low,2918,364750,10,300,875400,35016,840384,729500,293483,2018-12-29
